,scammer,total,closed
305,https://voxya.com/company/globaljobss.com-complaints/18574,1,0
306,https://voxya.com/company/ventet-educare-complaints/18559,2,0
307,https://voxya.com/company/job4india.co.in-complaints/16119,13,1
308,https://voxya.com/company/intergolbe-aviation-complaints/18359,1,0
309,https://voxya.com/company/gyansthali-school-complaints/18199,1,0
310,https://voxya.com/company/aj-internet-outsourcing-solutions-company-pvt-ltd-complaints/18117,1,0
311,https://voxya.com/company/fk-flame-private-limited-complaints/18067,1,0
312,https://voxya.com/company/captique-services-complaints/16503,8,2
313,https://voxya.com/company/typing-master-complaints/17911,1,0
314,https://voxya.com/company/crazy-holidays-complaints/17852,1,0
315,https://voxya.com/company/shine.com-complaints/15535,25,10
316,https://voxya.com/company/employees-provident-fund-(epf)-complaints/743,4,1
317,https://voxya.com/company/quantum-edge-consultancy-complaints/17767,1,0
318,https://voxya.com/company/naukriplace.com-complaints/15786,8,2
319,https://voxya.com/company/quantic-soft-solution(i-network)-complaints/17678,4,1
320,https://voxya.com/company/ss-technology-&-solution-complaints/17667,1,0
321,https://voxya.com/company/maruti-suzuki-automobile-company-complaints/10363,5,2
322,https://voxya.com/company/career-mart-consultancy-complaints/17546,1,0
323,https://voxya.com/company/swami-vivekanand-vidya-mandir-complaints/17817,1,0
324,https://voxya.com/company/quantic-soft-solutions-(i-network)-complaints/16727,6,3
325,https://voxya.com/company/paytm-complaints/366,869,333
326,https://voxya.com/company/awign-internship-complaints/10182,18,9
327,https://voxya.com/company/careermartsconsultancy-complaints/16009,2,0
328,https://voxya.com/company/macc2cap-app-(i-network)-complaints/17432,1,0
329,https://voxya.com/company/excellent-jobs-solutions-complaints/17399,1,0
330,https://voxya.com/company/captique-service-complaints/16605,6,4
331,https://voxya.com/company/betain-career-institute-private-limited-complaints/17301,1,0
332,https://voxya.com/company/typejobs.in-complaints/15151,13,3
333,https://voxya.com/company/job-stalker-complaints/17118,1,0
334,https://voxya.com/company/friends-publication-complaints/16896,1,0
335,https://voxya.com/company/educare-complaints/16864,1,0
336,https://voxya.com/company/awign-internship-complaints/10182,18,9
337,https://voxya.com/company/job4india.co.in-complaints/16119,13,1
338,https://voxya.com/company/job4india.co.in-complaints/16119,13,1
339,https://voxya.com/company/justsee-info-service-(p)-ltd-complaints/16802,1,0
340,https://voxya.com/company/careermartsconsultancy.com-complaints/14336,2,0
341,https://voxya.com/company/job4india.co.in-complaints/16119,13,1
342,https://voxya.com/company/value-core-solutions-complaints/16712,1,0
343,https://voxya.com/company/captique-services-complaints/16503,8,2
344,https://voxya.com/company/jobmatchnow.com-complaints/16635,1,0
345,https://voxya.com/company/captique-service-complaints/16605,6,4
346,https://voxya.com/company/captique-services-complaints/16503,8,2
347,https://voxya.com/company/novetic-medical-pharma.life-uklondon-complaints/16573,1,0
348,https://voxya.com/company/ejobmasters.net-complaints/16709,1,0
349,https://voxya.com/company/shine.com-complaints/15535,25,10
350,https://voxya.com/company/captique-services-complaints/16503,8,2
351,https://voxya.com/company/captique-complaints/16474,2,0
352,https://voxya.com/company/naukari.com-complaints/16496,9,4
353,https://voxya.com/company/captique-complaints/16474,2,0
354,https://voxya.com/company/typejobs.in-complaints/15151,13,3
355,https://voxya.com/company/i-tech-complaints/16622,1,0
356,https://voxya.com/company/garrison-engineer-(naval-works)-vasco-goa-complaints/16368,1,0
357,https://voxya.com/company/job4india.co.in-complaints/16119,13,1
358,https://voxya.com/company/cytomol-advanced-diagnostic-lab-complaints/16321,1,0
359,https://voxya.com/company/awign-internship-complaints/10182,18,9
360,https://voxya.com/company/exit-techgrads-complaints/16211,1,0
361,https://voxya.com/company/sri-vaari-enterprises-complaints/16190,1,0
362,https://voxya.com/company/job-india.co.in-complaints/16130,1,0
363,https://voxya.com/company/job4india.co.in-complaints/16119,13,1
364,https://voxya.com/company/nusys-technologies-complaints/16102,1,0
365,https://voxya.com/company/careermartsconsultancy-complaints/16009,2,0
366,https://voxya.com/company/paytm-complaints/366,869,333
367,https://voxya.com/company/pw-enterprise-complaints/15978,1,0
368,https://voxya.com/company/ibm-and-hcl-complaints/15903,1,0
369,https://voxya.com/company/naukri.com-complaints/5950,69,20
370,https://voxya.com/company/adani-group-complaints/15885,1,0
371,https://voxya.com/company/indian-express-job-service-complaints/15809,1,0
372,https://voxya.com/company/naukri.com-complaints/5950,69,20
373,https://voxya.com/company/glassdoor-complaints/15608,1,0
374,https://voxya.com/company/star-solution-complaints/15569,1,0
375,https://voxya.com/company/career-marts-consultancy-complaints/14323,1,0
376,https://voxya.com/company/shine.com-complaints/15535,25,10
377,https://voxya.com/company/shine-consultants-complaints/15497,1,0
378,https://voxya.com/company/livspace-complaints/5840,11,3
379,https://voxya.com/company/magnum-technopro-complaints/15348,1,0
380,https://voxya.com/company/typejobs.in-complaints/15151,13,3
381,https://voxya.com/company/kpv-solution-complaints/15275,1,0
382,https://voxya.com/company/mine-goll-denn-future-pvt-ltd-complaints/15270,1,0
383,https://voxya.com/company/anand-books-international-(p)-limited-complaints/15246,1,0
384,https://voxya.com/company/frontline-solution-complaints/15202,1,0
385,https://voxya.com/company/typejobs.in-complaints/15151,13,3
386,https://voxya.com/company/typejobs.in-complaints/15151,13,3
387,https://voxya.com/company/link-star-complaints/14159,3,0
388,https://voxya.com/company/link-star-complaints/14159,3,0
389,https://voxya.com/company/green-valley-public-school-complaints/14926,2,1
390,https://voxya.com/company/kunal-structure-(india)-pvt-ltd-complaints/14912,1,0
391,https://voxya.com/company/mayura-convent-school-complaints/14793,1,0
392,https://voxya.com/company/c-channel-complaints/12819,1,0
393,https://voxya.com/company/navratnaindia.in-complaints/14643,1,0
394,https://voxya.com/company/airport-authority-of-india-complaints/14584,1,0
395,https://voxya.com/company/anand-jobs-complaints/14576,1,0
396,https://voxya.com/company/shine-hunts-complaints/13799,2,1
397,https://voxya.com/company/pride-jobs-complaints/14502,1,0
398,https://voxya.com/company/avant-garde-advisory-pvt.ltd.-complaints/14482,1,0
399,https://voxya.com/company/sc-technologies-complaints/14473,1,0
400,https://voxya.com/company/creative-infotech-complaints/14376,1,0
401,https://voxya.com/company/quicker-india-complaints/9835,3,1
402,https://voxya.com/company/sun-pharmaceuticals-complaints/14352,1,0
403,https://voxya.com/company/careermartsconsultancy.com-complaints/14336,2,0
404,https://voxya.com/company/fini-technology-complaints/13519,4,2
405,https://voxya.com/company/agrawal-publications-complaints/14147,1,0
406,https://voxya.com/company/villiants-technology-complaints/14249,1,0
407,https://voxya.com/company/fourth-dimension-solution-ltd-complaints/14242,1,0
408,https://voxya.com/company/empower-it-systems-pvt.-ltd.-complaints/14184,1,0
409,https://voxya.com/company/unique-travelite-services-pvt-ltd-complaints/8771,3,1
